"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"56","tt0084777","Thu Oct 11 08:58:08 2012","Thu Oct 11 08:58:08 2012","","Tenebre","Feature Film","Dario Argento","7.0","110","1982","horror, mystery, thriller","9047","1982-10-28","http://www.imdb.com/title/tt0084777/"
"57","tt0084516","Thu Oct 11 08:56:26 2012","Thu Oct 11 08:56:26 2012","","Poltergeist","Feature Film","Tobe Hooper","7.4","114","1982","horror","55834","1982-06-04","http://www.imdb.com/title/tt0084516/"
"58","tt0084787","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Thing","Feature Film","John Carpenter","8.2","109","1982","horror, mystery, sci_fi, thriller","142757","1982-06-25","http://www.imdb.com/title/tt0084787/"
"59","tt0083767","Wed Aug  1 07:44:05 2012","Wed Aug  1 07:44:05 2012","","Creepshow","Feature Film","George A. Romero","6.6","120","1982","comedy, horror","18443","1982-05","http://www.imdb.com/title/tt0083767/"
"60","tt0085333","Fri Aug 31 09:24:56 2012","Fri Aug 31 09:24:56 2012","","Christine","Feature Film","John Carpenter","6.5","110","1983","drama, horror, mystery, thriller","28951","1983-12-09","http://www.imdb.com/title/tt0085333/"
"61","tt0087800","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","A Nightmare on Elm Street","Feature Film","Wes Craven","7.5","91","1984","horror","78999","1984-10","http://www.imdb.com/title/tt0087800/"
"62","tt0089907","Thu Oct  4 09:16:16 2012","Thu Oct  4 09:16:16 2012","","The Return of the Living Dead","Feature Film","Dan O'Bannon","7.2","91","1985","comedy, horror, sci_fi","23877","1985-05-15","http://www.imdb.com/title/tt0089907/"
"63","tt0087909","Thu Oct 18 08:54:50 2012","Thu Oct 18 08:54:50 2012","","Phenomena","Feature Film","Dario Argento","6.8","110","1985","horror, mystery","9531","1985-01-31","http://www.imdb.com/title/tt0087909/"
"64","tt0089885","Thu Oct 11 09:00:55 2012","Thu Oct 11 09:00:55 2012","","Re-Animator","Feature Film","Stuart Gordon","7.3","","1985","horror, sci_fi","21404","1985-10-18","http://www.imdb.com/title/tt0089885/"
"65","tt0089175","Thu Oct 11 08:59:57 2012","Thu Oct 11 08:59:57 2012","","Fright Night","Feature Film","Tom Holland","7.0","106","1985","comedy, horror, thriller","24128","1985-08-02","http://www.imdb.com/title/tt0089175/"
"66","tt0088993","Thu Jul 19 09:43:56 2012","Thu Jul 19 09:43:56 2012","","Day of the Dead","Feature Film","George A. Romero","7.1","102","1985","horror, sci_fi","32316","1985-07-03","http://www.imdb.com/title/tt0088993/"
"67","tt0091209","Thu Sep 27 09:43:14 2012","Thu Sep 27 09:43:14 2012","","The Hitcher","Feature Film","Robert Harmon","7.2","97","1986","horror, thriller","23805","1986-02-21","http://www.imdb.com/title/tt0091209/"
"68","tt0091630","Fri Sep 14 09:30:31 2012","Fri Sep 14 09:30:31 2012","","Night of the Creeps","Feature Film","Fred Dekker","6.7","88","1986","comedy, horror, sci_fi, thriller","7771","1986-08-22","http://www.imdb.com/title/tt0091630/"
"69","tt0091064","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","The Fly","Feature Film","David Cronenberg","7.5","96","1986","horror, sci_fi","65933","1986-08-15","http://www.imdb.com/title/tt0091064/"
"70","tt0093777","Fri Sep  7 09:05:05 2012","Fri Sep  7 09:05:05 2012","","Prince of Darkness","Feature Film","John Carpenter","6.6","102","1987","horror","14797","1987-10-23","http://www.imdb.com/title/tt0093777/"
"71","tt0093177","Fri Jun 22 09:42:02 2012","Fri Jun 22 09:42:02 2012","","Hellraiser","Feature Film","Clive Barker","7.0","94","1987","horror","41811","1987-05-13","http://www.imdb.com/title/tt0093177/"
"72","tt0092991","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Evil Dead II","Feature Film","Sam Raimi","7.8","84","1987","horror","65722","1987-03-13","http://www.imdb.com/title/tt0092991/"
"73","tt0094862","Thu Oct 11 09:00:16 2012","Thu Oct 11 09:00:16 2012","","Child's Play","Feature Film","Tom Holland","6.4","87","1988","horror, mystery, thriller","33884","1988-11-09","http://www.imdb.com/title/tt0094862/"
"74","tt0096256","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","They Live","Feature Film","John Carpenter","7.1","93","1988","action, horror, sci_fi, thriller","37399","1988-11-04","http://www.imdb.com/title/tt0096256/"
"75","tt0100814","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Tremors","Feature Film","Ron Underwood","7.1","96","1990","comedy, horror, sci_fi","49945","1990-01-19","http://www.imdb.com/title/tt0100814/"
"76","tt0101700","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Delicatessen","Feature Film","Marc Caro, Jean-Pierre Jeunet","7.8","99","1991","comedy, fantasy, sci_fi","42607","1991-04-17","http://www.imdb.com/title/tt0101700/"
"77","tt0102511","Thu Jul 19 09:44:15 2012","Thu Jul 19 09:44:15 2012","","Naked Lunch","Feature Film","David Cronenberg","6.9","115","1991","biography, comedy, drama, fantasy, horror","21820","1991-12-27","http://www.imdb.com/title/tt0102511/"
"78","tt0103874","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Dracula","Feature Film","Francis Ford Coppola","7.4","128","1992","drama, horror, romance","87456","1992-11-13","http://www.imdb.com/title/tt0103874/"
"79","tt0103873","Thu Oct 11 08:59:51 2012","Thu Oct 11 08:59:51 2012","","Dead Alive","Feature Film","Peter Jackson","7.6","104","1992","comedy, horror","51320","1992-05","http://www.imdb.com/title/tt0103873/"
"80","tt0106308","Mon Jun 11 02:33:47 2012","Mon Jun 11 02:33:47 2012","","Army of Darkness","Feature Film","Sam Raimi","7.6","81","1992","comedy, fantasy, horror","78693","1992-10-09","http://www.imdb.com/title/tt0106308/"
